ref_code,measure_code,measure,unit_measure_code,unit_of_measure,age,sex,variable_category,sigi_code,sigi_framework,time_period,obs_value,observation_status,unit_mult,calc_method
BRA,RPI_RA_LAW,Legal discrimination on reproductive autonomy,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RPI_RA,Reproductive autonomy,2023,75.0,Normal value,0,SIGI_YES
BRA,DF_HR_ATT_1,Perception that being a housewife is as fulfilling as working for pay,PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,49.7,Normal value,0,SIGI_NO
BRA,RAPFR_WR_PCT_1,Gender gap in managerial positions,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RAPFR_WR,Workplace rights,2023,36.8,Normal value,0,SIGI_YES
CAN,RPI_RA_LAW,Legal discrimination on reproductive autonomy,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RPI_RA,Reproductive autonomy,2023,0.0,Normal value,0,SIGI_YES
CAN,DF_HR_ATT_1,Perception that being a housewife is as fulfilling as working for pay,PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,68.7,Normal value,0,SIGI_NO
CAN,RAPFR_WR_PCT_1,Gender gap in managerial positions,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RAPFR_WR,Workplace rights,2023,35.6,Normal value,0,SIGI_YES
CHN,DF_HR_ATT_1,Perception that being a housewife is as fulfilling as working for pay,PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,71.9,Normal value,0,SIGI_NO
CHN,RPI_RA_LAW,Legal discrimination on reproductive autonomy,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RPI_RA,Reproductive autonomy,2023,0.0,Normal value,0,SIGI_YES
CHN,RAPFR_WR_PCT_1,Gender gap in managerial positions,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RAPFR_WR,Workplace rights,2023,16.8,Normal value,0,SIGI_YES
DEU,RPI_RA_LAW,Legal discrimination on reproductive autonomy,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RPI_RA,Reproductive autonomy,2023,0.0,Normal value,0,SIGI_YES
DEU,DF_HR_ATT_1,Perception that being a housewife is as fulfilling as working for pay,PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,58.4,Normal value,0,SIGI_NO
