STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,VARIABLE_CATEGORY,Variable category,SIGI_FRAMEWORK,SIGI Framework,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,POP_BASE,Population base,CALC_METHOD,Calculation method,SDG_SERIES,SDG indicator
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GBR,United Kingdom,RCL_AJ_PCT_1,Lack of confidence in the judicial system and courts,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RCL_AJ,Access to justice,2023,,49.7,,A,Normal value,0,Units,ILCJS,Individuals lacking confidence in the judicial system and courts,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,JPN,Japan,DF_HR_ATT_3,"Perception that when a mother works for pay, the children suffer",PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,DF_HR,Household responsibilities,2023,,16.4,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,ITA,Italy,DF_HR_PCT_1,Time spent on unpaid care and domestic work,H_D,Hours per day,_X,Unspecified,F,Female,PCT,Practices,DF_HR,Household responsibilities,2023,,4.9,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),SL_DOM_TSPD,Proportion of time spent on unpaid domestic chores and care work [5.4.1]
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,JPN,Japan,RAPFR_AFS_PCT_1,Bank account ownership,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RAPFR_AFS,Access to financial assets,2023,,51.9,,A,Normal value,0,Units,OWN_AFS,Bank account owners,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DEU,Germany,RCL_CR_LAW,Legal discrimination on citizenship rights,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RCL_CR,Citizenship rights,2023,,0,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BRA,Brazil,RPI_VAW_LAW,Legal discrimination on violence against women,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RPI_VAW,Violence against women,2023,,0,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CAN,Canada,RPI_VAW_LAW,Legal discrimination on violence against women,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RPI_VAW,Violence against women,2023,,75,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,IND,India,RCL_AJ_LAW,Legal discrimination on access to justice,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RCL_AJ,Access to justice,2023,,0,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MEX,Mexico,RAPFR_WR_PCT_1,Gender gap in managerial positions,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RAPFR_WR,Workplace rights,2023,,38.4,,A,Normal value,0,Units,MGMT,Managers,SIGI_YES,Variable used to compute the composite index (SIGI),IC_GEN_MGTN,Proportion of women in senior and middle management positions - 13th ICLS (%) [5.5.2]
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CAN,Canada,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RCL_FM,Freedom of movement,2023,,74.2,,A,Normal value,0,Units,IFIN,Individuals feeling insecure at night,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,GBR,United Kingdom,DF_HR_ATT_1,Perception that being a housewife is as fulfilling as working for pay,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,DF_HR,Household responsibilities,2023,,68,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BRA,Brazil,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RCL_FM,Freedom of movement,2023,,57.4,,A,Normal value,0,Units,IFIN,Individuals feeling insecure at night,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MEX,Mexico,RAPFR_HSE_PCT_1,House ownership,PT_POP,Percentage of population,Y_GE15,15 years or over,M,Male,PCT,Practices,RAPFR_HSE,Access to non-land assets,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CAN,Canada,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,_X,Unspecified,F,Female,PCT,Practices,RCL_PV,Political voice,2023,,30.5,,A,Normal value,0,Units,MP,Members of parliament,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BRA,Brazil,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,_X,Unspecified,F,Female,PCT,Practices,RCL_PV,Political voice,2023,,17.7,,A,Normal value,0,Units,MP,Members of parliament,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CHN,China (People’s Republic of),RAPFR_HSE_PCT_1,House ownership,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RAPFR_HSE,Access to non-land assets,2023,,,,A,Normal value,0,Units,OWN_HSE,House owners,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,JPN,Japan,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,_X,Unspecified,F,Female,PCT,Practices,RCL_PV,Political voice,2023,,9.9,,A,Normal value,0,Units,MP,Members of parliament,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DEU,Germany,RAPFR_WR_ATT_1,Perception that men should have more right to a job than women,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,RAPFR_WR,Workplace rights,2023,,9.2,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,MEX,Mexico,RPI_VAW_ATT_1,Perception that a husband is justified in hitting or beating his wife under certain circumstances,PT_POP,Percentage of population,Y15T49,From 15 to 49 years,F,Female,ATT,Attitudes,RPI_VAW,Violence against women,2023,,31.8,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,CHN,China (People’s Republic of),DF_HR_ATT_2,Perception that a woman earning more money than her husband causes problems,PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,DF_HR,Household responsibilities,2023,,27.3,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,ITA,Italy,RCL_AJ_LAW,Legal discrimination on access to justice,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RCL_AJ,Access to justice,2023,,0,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DEU,Germany,RAPFR_AFS_LAW,Legal discrimination on financial assets,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RAPFR_AFS,Access to financial assets,2023,,0,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,FRA,France,DF_HR_PCT_1,Time spent on unpaid care and domestic work,H_D,Hours per day,_X,Unspecified,F,Female,PCT,Practices,DF_HR,Household responsibilities,2023,,3.8,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),SL_DOM_TSPD,Proportion of time spent on unpaid domestic chores and care work [5.4.1]
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DEU,Germany,RAPFR_AFS_PCT_1,Bank account ownership,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RAPFR_AFS,Access to financial assets,2023,,51,,A,Normal value,0,Units,OWN_AFS,Bank account owners,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,JPN,Japan,RCL_CR_LAW,Legal discrimination on citizenship rights,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RCL_CR,Citizenship rights,2023,,0,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BRA,Brazil,RAPFR_AFS_PCT_1,Bank account ownership,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RAPFR_AFS,Access to financial assets,2023,,49.6,,A,Normal value,0,Units,OWN_AFS,Bank account owners,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,IND,India,RAPFR_WR_PCT_2,Gender gap in top management positions,PT_POP_SUB,Percentage of population in the same subgroup,_Z,Not applicable,F,Female,PCT,Practices,RAPFR_WR,Workplace rights,2023,,6.8,,A,Normal value,0,Units,MGMT_TOP,Top managers,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,FRA,France,DF_CM_PCT_1,Prevalence child marriage,PT_POP,Percentage of population,Y20T24,From 20 to 24 years,F,Female,PCT,Practices,DF_CM,Child marriage,2023,,,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),SP_DYN_MRBF18,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1]
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DEU,Germany,RPI_VAW_PCT_1,Prevalence of intimate-partner violence over the lifetime,PT_POP_SUB,Percentage of population in the same subgroup,Y15T49,From 15 to 49 years,F,Female,PCT,Practices,RPI_VAW,Violence against women,2023,,21,,A,Normal value,0,Units,I_EP,Ever-partnered individuals,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,IND,India,RPI_VAW_PCT_2,Prevalence of intimate-partner violence over the past 12 months,PT_POP_SUB,Percentage of population in the same subgroup,Y_GE15,15 years or over,F,Female,PCT,Practices,RPI_VAW,Violence against women,2023,,15.9,,A,Normal value,0,Units,I_EP,Ever-partnered individuals,SIGI_YES,Variable used to compute the composite index (SIGI),VC_VAW_MARR,Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months [5.2.1]
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,BRA,Brazil,DF_HR_ATT_3,"Perception that when a mother works for pay, the children suffer",PT_POP,Percentage of population,Y_GE18,18 years or over,_T,Total,ATT,Attitudes,DF_HR,Household responsibilities,2023,,55.1,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,ITA,Italy,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP,Percentage of population,Y_GE15,15 years or over,M,Male,PCT,Practices,RCL_FM,Freedom of movement,2023,,26.2,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,USA,United States,RCL_AJ_PCT_1,Lack of confidence in the judicial system and courts,PT_POP,Percentage of population,Y_GE15,15 years or over,F,Female,PCT,Practices,RCL_AJ,Access to justice,2023,,48.8,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,IND,India,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP,Percentage of population,Y_GE15,15 years or over,M,Male,PCT,Practices,RCL_FM,Freedom of movement,2023,,27.5,,A,Normal value,0,Units,,,SIGI_NO,Variable not used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,JPN,Japan,RPI_VAW_LAW,Legal discrimination on violence against women,0_TO_100,0-100 scale,_Z,Not applicable,_Z,Not applicable,LAW,Legal frameworks,RPI_VAW,Violence against women,2023,,75,,A,Normal value,0,Units,,,SIGI_YES,Variable used to compute the composite index (SIGI),,
DATAFLOW,OECD.DEV.NPG:DSD_GID@DF_GID_2023(1.0),"Gender, Institutions and Development Database (GID-DB) 2023",I,DEU,Germany,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,_X,Unspecified,F,Female,PCT,Practices,RCL_PV,Political voice,2023,,34.9,,A,Normal value,0,Units,MP,Members of parliament,SIGI_YES,Variable used to compute the composite index (SIGI),,
