ref_code,measure_code,measure,unit_measure_code,unit_of_measure,age,sex,variable_category,sigi_code,sigi_framework,time_period,obs_value,observation_status,unit_mult,calc_method
GBR,RCL_AJ_PCT_1,Lack of confidence in the judicial system and courts,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RCL_AJ,Access to justice,2023,49.7,Normal value,0,SIGI_YES
JPN,DF_HR_ATT_3,"Perception that when a mother works for pay, the children suffer",PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,16.4,Normal value,0,SIGI_NO
ITA,DF_HR_PCT_1,Time spent on unpaid care and domestic work,H_D,Hours per day,Unspecified,Female,Practices,DF_HR,Household responsibilities,2023,4.9,Normal value,0,SIGI_NO
JPN,RAPFR_AFS_PCT_1,Bank account ownership,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RAPFR_AFS,Access to financial assets,2023,51.9,Normal value,0,SIGI_YES
DEU,RCL_CR_LAW,Legal discrimination on citizenship rights,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RCL_CR,Citizenship rights,2023,0.0,Normal value,0,SIGI_YES
BRA,RPI_VAW_LAW,Legal discrimination on violence against women,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RPI_VAW,Violence against women,2023,0.0,Normal value,0,SIGI_YES
CAN,RPI_VAW_LAW,Legal discrimination on violence against women,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RPI_VAW,Violence against women,2023,75.0,Normal value,0,SIGI_YES
IND,RCL_AJ_LAW,Legal discrimination on access to justice,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RCL_AJ,Access to justice,2023,0.0,Normal value,0,SIGI_YES
MEX,RAPFR_WR_PCT_1,Gender gap in managerial positions,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RAPFR_WR,Workplace rights,2023,38.4,Normal value,0,SIGI_YES
CAN,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RCL_FM,Freedom of movement,2023,74.2,Normal value,0,SIGI_YES
GBR,DF_HR_ATT_1,Perception that being a housewife is as fulfilling as working for pay,PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,68.0,Normal value,0,SIGI_NO
BRA,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RCL_FM,Freedom of movement,2023,57.4,Normal value,0,SIGI_YES
CAN,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,Unspecified,Female,Practices,RCL_PV,Political voice,2023,30.5,Normal value,0,SIGI_YES
BRA,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,Unspecified,Female,Practices,RCL_PV,Political voice,2023,17.7,Normal value,0,SIGI_YES
JPN,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,Unspecified,Female,Practices,RCL_PV,Political voice,2023,9.9,Normal value,0,SIGI_YES
DEU,RAPFR_WR_ATT_1,Perception that men should have more right to a job than women,PT_POP,Percentage of population,18 years or over,Total,Attitudes,RAPFR_WR,Workplace rights,2023,9.2,Normal value,0,SIGI_NO
MEX,RPI_VAW_ATT_1,Perception that a husband is justified in hitting or beating his wife under certain circumstances,PT_POP,Percentage of population,From 15 to 49 years,Female,Attitudes,RPI_VAW,Violence against women,2023,31.8,Normal value,0,SIGI_YES
CHN,DF_HR_ATT_2,Perception that a woman earning more money than her husband causes problems,PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,27.3,Normal value,0,SIGI_NO
ITA,RCL_AJ_LAW,Legal discrimination on access to justice,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RCL_AJ,Access to justice,2023,0.0,Normal value,0,SIGI_YES
DEU,RAPFR_AFS_LAW,Legal discrimination on financial assets,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RAPFR_AFS,Access to financial assets,2023,0.0,Normal value,0,SIGI_YES
FRA,DF_HR_PCT_1,Time spent on unpaid care and domestic work,H_D,Hours per day,Unspecified,Female,Practices,DF_HR,Household responsibilities,2023,3.8,Normal value,0,SIGI_NO
DEU,RAPFR_AFS_PCT_1,Bank account ownership,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RAPFR_AFS,Access to financial assets,2023,51.0,Normal value,0,SIGI_YES
JPN,RCL_CR_LAW,Legal discrimination on citizenship rights,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RCL_CR,Citizenship rights,2023,0.0,Normal value,0,SIGI_YES
BRA,RAPFR_AFS_PCT_1,Bank account ownership,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RAPFR_AFS,Access to financial assets,2023,49.6,Normal value,0,SIGI_YES
IND,RAPFR_WR_PCT_2,Gender gap in top management positions,PT_POP_SUB,Percentage of population in the same subgroup,Not applicable,Female,Practices,RAPFR_WR,Workplace rights,2023,6.8,Normal value,0,SIGI_YES
DEU,RPI_VAW_PCT_1,Prevalence of intimate-partner violence over the lifetime,PT_POP_SUB,Percentage of population in the same subgroup,From 15 to 49 years,Female,Practices,RPI_VAW,Violence against women,2023,21.0,Normal value,0,SIGI_YES
IND,RPI_VAW_PCT_2,Prevalence of intimate-partner violence over the past 12 months,PT_POP_SUB,Percentage of population in the same subgroup,15 years or over,Female,Practices,RPI_VAW,Violence against women,2023,15.9,Normal value,0,SIGI_YES
BRA,DF_HR_ATT_3,"Perception that when a mother works for pay, the children suffer",PT_POP,Percentage of population,18 years or over,Total,Attitudes,DF_HR,Household responsibilities,2023,55.1,Normal value,0,SIGI_NO
ITA,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP,Percentage of population,15 years or over,Male,Practices,RCL_FM,Freedom of movement,2023,26.2,Normal value,0,SIGI_NO
USA,RCL_AJ_PCT_1,Lack of confidence in the judicial system and courts,PT_POP,Percentage of population,15 years or over,Female,Practices,RCL_AJ,Access to justice,2023,48.8,Normal value,0,SIGI_NO
IND,RCL_FM_PCT_1,Feeling of insecurity at night,PT_POP,Percentage of population,15 years or over,Male,Practices,RCL_FM,Freedom of movement,2023,27.5,Normal value,0,SIGI_NO
JPN,RPI_VAW_LAW,Legal discrimination on violence against women,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,RPI_VAW,Violence against women,2023,75.0,Normal value,0,SIGI_YES
DEU,RCL_PV_PCT_1,Gender gap in political representation,PT_POP_SUB,Percentage of population in the same subgroup,Unspecified,Female,Practices,RCL_PV,Political voice,2023,34.9,Normal value,0,SIGI_YES
USA,DF_DV_LAW,Legal discrimination on divorce,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,DF_DV,Divorce,2023,0.0,Normal value,0,SIGI_YES
CHN,DF_DV_LAW,Legal discrimination on divorce,0_TO_100,0-100 scale,Not applicable,Not applicable,Legal frameworks,DF_DV,Divorce,2023,0.0,Normal value,0,SIGI_YES
CHN,RCL_PV_ATT_1,Perception that men make better political leaders than women,PT_POP,Percentage of population,18 years or over,Total,Attitudes,RCL_PV,Political voice,2023,50.4,Normal value,0,SIGI_NO
